sep=,
No.,Type,Reference,Debtor,Creditor,Business Date,Entry Date,Currency,Amount,Processing Status,Status,Next status,Stream,
1,MNSB,NPCIR52025072100001004,N/A,N/A,21/07/2025,21/07/2025,INR,"3,24,594.17",Complete,Final,,URGENT,
2,MNSB,NPCIR52025072100001005,N/A,N/A,21/07/2025,21/07/2025,INR,"1,15,098.82",Complete,Final,,URGENT,
3,MNSB,NPCIR52025072100001006,N/A,N/A,21/07/2025,21/07/2025,INR,"20,412.01",Complete,Final,,URGENT,
4,MNSB,NPCIR52025072100002001,N/A,N/A,21/07/2025,21/07/2025,INR,"4,936.38",Complete,Final,,URGENT,
5,MNSB,NPCIR52025072100002002,N/A,N/A,21/07/2025,21/07/2025,INR,"2,42,470.47",Complete,Final,,URGENT,
6,MNSB,NPCIR52025072100002003,N/A,N/A,21/07/2025,21/07/2025,INR,"2,44,832.95",Complete,Final,,URGENT,
7,MNSB,NPCIR52025072100002004,N/A,N/A,21/07/2025,21/07/2025,INR,"1,99,881.27",Complete,Final,,URGENT,
8,MNSB,NPCIR52025072100002005,N/A,N/A,21/07/2025,21/07/2025,INR,"7,32,700.36",Complete,Final,,URGENT,
9,MNSB,NPCIR52025072100002006,N/A,N/A,21/07/2025,21/07/2025,INR,"17,57,148.66",Complete,Final,,URGENT,
10,MNSB,NPCIR52025072100002007,N/A,N/A,21/07/2025,21/07/2025,INR,"47,32,653.64",Complete,Final,,URGENT,
11,MNSB,NPCIR52025072100002008,N/A,N/A,21/07/2025,21/07/2025,INR,"10,41,166.93",Complete,Final,,URGENT,
12,MNSB,NPCIR52025072100002010,N/A,N/A,21/07/2025,21/07/2025,INR,"6,75,892.57",Complete,Final,,URGENT,
13,MNSB,NPCIR52025072100003002,N/A,N/A,21/07/2025,21/07/2025,INR,"2,83,027.98",Complete,Final,,URGENT,
14,MNSB,NPCIR52025072100003003,N/A,N/A,21/07/2025,21/07/2025,INR,"81,29,458.72",Complete,Final,,URGENT,
15,MNSB,NPCIR52025072100003004,N/A,N/A,21/07/2025,21/07/2025,INR,"48,652.24",Complete,Final,,URGENT,
16,MNSB,NPCIR52025072100003005,N/A,N/A,21/07/2025,21/07/2025,INR,"2,31,113.81",Complete,Final,,URGENT,
17,MNSB,NPCIR52025072100003006,N/A,N/A,21/07/2025,21/07/2025,INR,"40,527.28",Complete,Final,,URGENT,
18,MNSB,NPCIR52025072100007006,N/A,N/A,21/07/2025,21/07/2025,INR,722.19,Complete,Final,,URGENT,
19,MNSB,NPCIR52025072100007007,N/A,N/A,21/07/2025,21/07/2025,INR,"11,643.00",Complete,Final,,URGENT,
20,MNSB,NPCIR52025072100007009,N/A,N/A,21/07/2025,21/07/2025,INR,250.00,Complete,Final,,URGENT,
21,MNSB,NPCIR52025072100007013,N/A,N/A,21/07/2025,21/07/2025,INR,"1,823.47",Complete,Final,,URGENT,
22,MNSB,NPCIR52025072100007015,N/A,N/A,21/07/2025,21/07/2025,INR,"1,71,92,415.38",Complete,Final,,URGENT,
23,MNSB,NPCIR52025072100008003,N/A,N/A,21/07/2025,21/07/2025,INR,"2,21,501.00",Complete,Final,,URGENT,
24,MNSB,NPCIR52025072100008010,N/A,N/A,21/07/2025,21/07/2025,INR,"20,378.00",Complete,Final,,URGENT,
25,MNSB,NPCIR52025072100015009,N/A,N/A,21/07/2025,21/07/2025,INR,"1,91,165.75",Complete,Final,,URGENT,
26,MNSB,NPCIR52025072100015010,N/A,N/A,21/07/2025,21/07/2025,INR,"2,30,187.03",Complete,Final,,URGENT,
27,MNSB,NPCIR52025072100015011,N/A,N/A,21/07/2025,21/07/2025,INR,"6,11,361.67",Complete,Final,,URGENT,
28,MNSB,NPCIR52025072100015013,N/A,N/A,21/07/2025,21/07/2025,INR,"3,97,953.48",Complete,Final,,URGENT,
