sep=,
No.,Type,Reference,Debtor,Creditor,Business Date,Entry Date,Currency,Amount,Processing Status,Status,Next status,Stream,
1,MNSB,NPCIR52025072100001002,N/A,N/A,21/07/2025,21/07/2025,INR,"43,289.33",Complete,Final,,URGENT,
2,MNSB,NPCIR52025072100002009,N/A,N/A,21/07/2025,21/07/2025,INR,"4,72,978.25",Complete,Final,,URGENT,
3,MNSB,NPCIR52025072100004001,N/A,N/A,21/07/2025,21/07/2025,INR,"1,135.22",Complete,Final,,URGENT,
4,MNSB,NPCIR52025072100004002,N/A,N/A,21/07/2025,21/07/2025,INR,"2,626.09",Complete,Final,,URGENT,
5,MNSB,NPCIR52025072100004003,N/A,N/A,21/07/2025,21/07/2025,INR,169.70,Complete,Final,,URGENT,
6,MNSB,NPCIR52025072100004004,N/A,N/A,21/07/2025,21/07/2025,INR,73.15,Complete,Final,,URGENT,
7,MNSB,NPCIR52025072100004005,N/A,N/A,21/07/2025,21/07/2025,INR,3.95,Complete,Final,,URGENT,
8,MNSB,NPCIR52025072100005001,N/A,N/A,21/07/2025,21/07/2025,INR,1.59,Complete,Final,,URGENT,
9,MNSB,NPCIR52025072100005002,N/A,N/A,21/07/2025,21/07/2025,INR,"86,251.20",Complete,Final,,URGENT,
10,MNSB,NPCIR52025072100005003,N/A,N/A,21/07/2025,21/07/2025,INR,3.36,Complete,Final,,URGENT,
11,MNSB,NPCIR52025072100005004,N/A,N/A,21/07/2025,21/07/2025,INR,4.43,Complete,Final,,URGENT,
12,MNSB,NPCIR52025072100007001,N/A,N/A,21/07/2025,21/07/2025,INR,"4,50,931.00",Complete,Final,,URGENT,
13,MNSB,NPCIR52025072100007010,N/A,N/A,21/07/2025,21/07/2025,INR,"40,385.00",Complete,Final,,URGENT,
14,MNSB,NPCIR52025072100008014,N/A,N/A,21/07/2025,21/07/2025,INR,866.71,Complete,Final,,URGENT,
15,MNSB,NPCIR52025072100008016,N/A,N/A,21/07/2025,21/07/2025,INR,"10,00,000.00",Complete,Final,,URGENT,
16,MNSB,NPCIR52025072100015002,N/A,N/A,21/07/2025,21/07/2025,INR,"7,39,940.62",Complete,Final,,URGENT,
17,MNSB,NPCIR52025072100015005,N/A,N/A,21/07/2025,21/07/2025,INR,"1,32,018.28",Complete,Final,,URGENT,
18,MNSB,NPCIR52025072100015006,N/A,N/A,21/07/2025,21/07/2025,INR,"1,98,769.05",Complete,Final,,URGENT,
19,MNSB,NPCIR52025072100015007,N/A,N/A,21/07/2025,21/07/2025,INR,"1,63,180.70",Complete,Final,,URGENT,
20,MNSB,NPCIR52025072100015008,N/A,N/A,21/07/2025,21/07/2025,INR,"3,21,985.93",Complete,Final,,URGENT,
21,MNSB,NPCIR52025072100015012,N/A,N/A,21/07/2025,21/07/2025,INR,"6,60,927.00",Complete,Final,,URGENT,
